Fecha,Temperatura_deg_c
01/01/80,24.09
02/01/80,25.64
03/01/80,29.2
04/01/80,23.37
05/01/80,24.17
06/01/80,24.33
07/01/80,27.38
08/01/80,30.66
09/01/80,30.69
10/01/80,30.08
11/01/80,31.31
12/01/80,29.69
13/01/80,29.23
14/01/80,28.72
15/01/80,30.78
16/01/80,31.5
17/01/80,31.04
18/01/80,30.57
19/01/80,29.31
20/01/80,28.34
21/01/80,30.06
22/01/80,31.24
23/01/80,29.3
24/01/80,24.92
25/01/80,26.82
26/01/80,29.93
27/01/80,31.45
28/01/80,30.18
29/01/80,31.59
30/01/80,31.2
31/01/80,31.1
01/02/80,26.55
02/02/80,21.6
03/02/80,25.04
04/02/80,26.83
05/02/80,28.05
06/02/80,25.53
07/02/80,26.56
08/02/80,29.34
09/02/80,31.59
10/02/80,25.7
11/02/80,24.16
12/02/80,27.92
13/02/80,31
14/02/80,30.24
15/02/80,31.02
16/02/80,31.89
17/02/80,27.16
18/02/80,28.81
19/02/80,27.99
20/02/80,31.87
21/02/80,31.52
22/02/80,31.83
23/02/80,32.33
24/02/80,32.09
25/02/80,31.62
26/02/80,26.54
27/02/80,21.2
28/02/80,26.03
01/03/80,30.15
02/03/80,33.27
03/03/80,21.94
04/03/80,22.3
05/03/80,28.63
06/03/80,31.88
07/03/80,31.89
08/03/80,32.65
09/03/80,32.56
10/03/80,32.28
11/03/80,31.87
12/03/80,32.43
13/03/80,34.11
14/03/80,34.12
15/03/80,32.32
16/03/80,32.07
17/03/80,32.03
18/03/80,32.74
19/03/80,32.16
20/03/80,30.98
21/03/80,32.65
22/03/80,32.69
23/03/80,32.85
24/03/80,33.54
25/03/80,34.94
26/03/80,34.19
27/03/80,34.15
28/03/80,33.44
29/03/80,35.04
30/03/80,35.43
31/03/80,34.58
01/04/80,34.38
02/04/80,35.82
03/04/80,34.93
04/04/80,36.32
05/04/80,36.03
06/04/80,32.65
07/04/80,34.11
08/04/80,34.95
09/04/80,34.3
10/04/80,31.58
11/04/80,32.35
12/04/80,33.96
13/04/80,35.02
14/04/80,34.59
15/04/80,27.53
16/04/80,26.78
17/04/80,29.26
18/04/80,30.5
19/04/80,27.71
20/04/80,27.49
21/04/80,25.39
22/04/80,25.73
23/04/80,28.48
24/04/80,31.72
25/04/80,34.85
26/04/80,36.31
27/04/80,36.08
28/04/80,30.45
29/04/80,28.4
30/04/80,28.89
01/05/80,36.38
02/05/80,38.4
03/05/80,36.29
04/05/80,35.62
05/05/80,34.86
06/05/80,33.8
07/05/80,34.43
08/05/80,35.44
09/05/80,35.85
10/05/80,36.58
11/05/80,34.79
12/05/80,37.47
13/05/80,36.75
14/05/80,35.08
15/05/80,35.52
16/05/80,36.71
17/05/80,38.78
18/05/80,38.46
19/05/80,36.69
20/05/80,36.22
21/05/80,34.99
22/05/80,34.39
23/05/80,35.52
24/05/80,35.23
25/05/80,36.49
26/05/80,36.96
27/05/80,37.56
28/05/80,37.05
29/05/80,35.7
30/05/80,35.26
31/05/80,36.77
01/06/80,35.92
02/06/80,34.17
03/06/80,33.38
04/06/80,33.84
05/06/80,34.25
06/06/80,34.32
07/06/80,33.85
08/06/80,34.91
09/06/80,33.79
10/06/80,33.18
11/06/80,31.99
12/06/80,32.22
13/06/80,31.35
14/06/80,30.56
15/06/80,30.64
16/06/80,30.14
17/06/80,29.1
18/06/80,33.42
19/06/80,33.15
20/06/80,33.58
21/06/80,34.15
22/06/80,34.27
23/06/80,33.62
24/06/80,31.87
25/06/80,32.62
26/06/80,31.97
27/06/80,31.98
28/06/80,33.06
29/06/80,32.68
30/06/80,32.34
01/07/80,34.1
02/07/80,34.54
03/07/80,33.42
04/07/80,33.8
05/07/80,33.8
