product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MOD11A2,LST_Day_1km,A2000049,18/02/2000,303.18,309.82,24821.9141,6.64,306.4434,2.2241,1.4913,81,81,100,2.02005E+12,307.64
MOD11A2,LST_Day_1km,A2000057,26/02/2000,305.98,311.42,24996.1191,5.44,308.5941,1.6285,1.2761,81,81,100,2.02005E+12,309.9
MOD11A2,LST_Day_1km,A2000065,05/03/2000,308.16,313.4,25136.5195,5.24,310.3274,1.4216,1.1923,81,81,100,2.02005E+12,311.4
MOD11A2,LST_Day_1km,A2000073,13/03/2000,307.92,312.36,25112.1387,4.44,310.0264,0.9782,0.989,81,81,100,2.02005E+12,311.02
MOD11A2,LST_Day_1km,A2000081,21/03/2000,305.06,313.48,25147.2578,8.42,310.46,4.0511,2.0127,81,81,100,2.02005E+12,312.96
MOD11A2,LST_Day_1km,A2000089,29/03/2000,310.88,318.08,25468.8594,7.2,314.4304,2.661,1.6313,81,81,100,2.02005E+12,315.28
MOD11A2,LST_Day_1km,A2000097,06/04/2000,312.62,319.38,25572.5781,6.76,315.7108,2.1281,1.4588,81,81,100,2.02005E+12,318.04
MOD11A2,LST_Day_1km,A2000105,14/04/2000,312.42,319.7,25586.3594,7.28,315.881,2.894,1.7012,81,81,100,2.02005E+12,318.2
MOD11A2,LST_Day_1km,A2000113,22/04/2000,314.08,321.26,25728.0039,7.18,317.6297,3.8014,1.9497,81,81,100,2.02005E+12,319.88
MOD11A2,LST_Day_1km,A2000121,30/04/2000,315.96,322.3,25816.5273,6.34,318.7226,2.1359,1.4615,81,81,100,2.02005E+12,320.46
MOD11A2,LST_Day_1km,A2000129,08/05/2000,317.46,323.24,25923.9238,5.78,320.0484,2.0515,1.4323,81,81,100,2.02005E+12,321.82
MOD11A2,LST_Day_1km,A2000137,16/05/2000,316.32,322.3,25845.6582,5.98,319.0822,1.8928,1.3758,81,81,100,2.02005E+12,320.62
MOD11A2,LST_Day_1km,A2000145,24/05/2000,315.48,320.58,25746.6172,5.1,317.8595,1.4103,1.1876,81,81,100,2.02005E+12,319.4
MOD11A2,LST_Day_1km,A2000153,01/06/2000,315.46,322.6,25822.6973,7.14,318.7987,3.5524,1.8848,81,81,100,2.02005E+12,320.6
MOD11A2,LST_Day_1km,A2000161,09/06/2000,315.24,322.42,25883.1191,7.18,319.5447,1.9674,1.4026,81,81,100,2.02005E+12,321.02
MOD11A2,LST_Day_1km,A2000169,17/06/2000,313.08,318.54,25591.0918,5.46,315.9394,1.8682,1.3668,81,81,100,2.02005E+12,317.54
MOD11A2,LST_Day_1km,A2000177,25/06/2000,302.86,309.94,24821.7617,7.08,306.4415,3.3132,1.8202,81,81,100,2.02005E+12,306.56
MOD11A2,LST_Day_1km,A2000185,03/07/2000,304.02,309.34,24837.5996,5.32,306.637,1.5189,1.2324,81,81,100,2.02005E+12,308.22
MOD11A2,LST_Day_1km,A2000193,11/07/2000,303.18,309.76,24813.5195,6.58,306.3398,1.7627,1.3277,81,81,100,2.02005E+12,307.24
MOD11A2,LST_Day_1km,A2000201,19/07/2000,303.96,308.2,24795.041,4.24,306.1116,0.9013,0.9494,81,81,100,2.02005E+12,307.5
MOD11A2,LST_Day_1km,A2000209,27/07/2000,300.62,302.7,24438.1602,2.08,301.7057,0.1636,0.4044,81,81,100,2.02005E+12,302.16
MOD11A2,LST_Day_1km,A2000217,04/08/2000,299.76,305.82,24553.1191,6.06,303.1249,1.0871,1.0426,81,81,100,2.02006E+12,304.98
MOD11A2,LST_Day_1km,A2000225,12/08/2000,303.58,306.38,24703.4043,2.8,304.9803,0.5165,0.7187,81,81,100,2.02006E+12,305
MOD11A2,LST_Day_1km,A2000233,20/08/2000,300.54,305.96,24557.8223,5.42,303.183,1.4886,1.2201,81,81,100,2.02006E+12,303.64
MOD11A2,LST_Day_1km,A2000241,28/08/2000,302.76,305.26,24607.1211,2.5,303.7916,0.2936,0.5418,81,81,100,2.02006E+12,303.9
MOD11A2,LST_Day_1km,A2000249,05/09/2000,303.58,306.98,24725.0586,3.4,305.2477,0.4443,0.6666,81,81,100,2.02006E+12,305.82
MOD11A2,LST_Day_1km,A2000257,13/09/2000,301.44,303.94,24522.082,2.5,302.7418,0.354,0.595,81,81,100,2.02006E+12,303.72
MOD11A2,LST_Day_1km,A2000265,21/09/2000,301.82,305,24582.0176,3.18,303.4817,0.5178,0.7196,81,81,100,2.02006E+12,303.78
MOD11A2,LST_Day_1km,A2000273,29/09/2000,303.26,307.14,24729.2012,3.88,305.2988,0.7745,0.8801,81,81,100,2.02006E+12,306.16
MOD11A2,LST_Day_1km,A2000281,07/10/2000,298,303.26,24296.6641,5.26,299.9588,1.4537,1.2057,81,81,100,2.02006E+12,301.7
MOD11A2,LST_Day_1km,A2000289,15/10/2000,298.48,304.94,24482.8652,6.46,302.2576,2.7391,1.655,81,81,100,2.02006E+12,303.9
MOD11A2,LST_Day_1km,A2000297,23/10/2000,295.08,298.62,24025.1016,3.54,296.6062,0.7602,0.8719,81,81,100,2.02006E+12,295.54
MOD11A2,LST_Day_1km,A2000305,31/10/2000,291.24,296.52,23871.2988,5.28,294.7074,2.0078,1.417,81,81,100,2.02006E+12,296.16
MOD11A2,LST_Day_1km,A2000313,08/11/2000,294.76,296.96,23979.8359,2.2,296.0474,0.2914,0.5398,81,81,100,2.02006E+12,296.58
MOD11A2,LST_Day_1km,A2000321,16/11/2000,295.9,298.44,24091.0605,2.54,297.4205,0.3133,0.5598,81,81,100,2.02006E+12,297.76
MOD11A2,LST_Day_1km,A2000329,24/11/2000,296.44,299.72,24167.3203,3.28,298.362,0.5784,0.7605,81,81,100,2.02006E+12,298.02
MOD11A2,LST_Day_1km,A2000337,02/12/2000,298.62,301.32,24314.123,2.7,300.1743,0.3574,0.5978,81,81,100,2.02006E+12,300.5
MOD11A2,LST_Day_1km,A2000345,10/12/2000,296.4,299.94,24193.4375,3.54,298.6844,0.4416,0.6645,81,81,100,2.02008E+12,299.06
MOD11A2,LST_Day_1km,A2000353,18/12/2000,298.08,300.46,24256.4258,2.38,299.462,0.2507,0.5007,81,81,100,2.02008E+12,299.74
MOD11A2,LST_Day_1km,A2000361,26/12/2000,295.26,298.84,24063.7773,3.58,297.0837,0.5325,0.7298,81,81,100,2.02008E+12,298.26
MOD11A2,LST_Day_1km,A2001001,01/01/2001,297.68,301.16,24290.6211,3.48,299.8842,0.4054,0.6367,81,81,100,2.02008E+12,300.36
MOD11A2,LST_Day_1km,A2001009,09/01/2001,292.44,296.12,23879.5176,3.68,294.8089,0.7445,0.8629,81,81,100,2.02008E+12,295.5
MOD11A2,LST_Day_1km,A2001017,17/01/2001,292.32,297.68,23928.1992,5.36,295.4099,1.0486,1.024,81,81,100,2.02008E+12,295.46
MOD11A2,LST_Day_1km,A2001025,25/01/2001,296.08,299.84,24142.2148,3.76,298.052,0.8473,0.9205,81,81,100,2.02008E+12,298.86
MOD11A2,LST_Day_1km,A2001033,02/02/2001,301.42,304.16,24541.2988,2.74,302.979,0.5962,0.7721,81,81,100,2.02008E+12,303.26
